run	group	subgroup	rep	paired	dedup_pcr	umi	control
SRR33007850	untreated	1	a	True	False	False	True
SRR33069362	untreated	1	b	True	False	False	True
SRR33069370	untreated	1	c	True	False	False	True
SRR33007849	untreated	2	a	True	False	False	True
SRR33069361	untreated	2	b	True	False	False	True
SRR33069369	untreated	2	c	True	False	False	True
SRR33007843	untreated	3	a	True	False	False	True
SRR33069360	untreated	3	b	True	False	False	True
SRR33069368	untreated	3	c	True	False	False	True
SRR33007842	untreated	4	a	True	False	False	True
SRR33069359	untreated	4	b	True	False	False	True
SRR33069367	untreated	4	c	True	False	False	True
SRR33007841	untreated	5	a	True	False	False	True
SRR33069358	untreated	5	b	True	False	False	True
SRR33069366	untreated	5	c	True	False	False	True
SRR33007840	untreated	6	a	True	False	False	True
SRR33069357	untreated	6	b	True	False	False	True
SRR33069365	untreated	6	c	True	False	False	True
SRR33007839	untreated	7	a	True	False	False	True
SRR33069356	untreated	7	b	True	False	False	True
SRR33069364	untreated	7	c	True	False	False	True
SRR33007838	untreated	8	a	True	False	False	True
SRR33069355	untreated	8	b	True	False	False	True
SRR33069363	untreated	8	c	True	False	False	True
SRR33007837	UVB	1	a	True	False	False	False
SRR33007836	UVB	2	a	True	False	False	False
SRR33007848	UVC	002	a	True	False	False	False
SRR33007847	UVC	005	a	True	False	False	False
SRR33007846	UVC	01	a	True	False	False	False
SRR33007845	UVC	02	a	True	False	False	False
SRR33007844	Ler-0	1	a	True	False	False	False
